Tail_number,Summary,Owner,Airworthiness_Class,Serial_Number,Engine,Weight,Speed,Mode_S_Code,Status,Certificate_Issue_Date,Airworthiness_Date,Last_Action_Date,Expiration,Registry_Source
N165AE,2018 BELL HELICOPTER TEXTRON CANADA 206L-4Rotorcraft(5 seats / 1 engine),"TEXTRON FINANCIAL CORPWICHITA, KS, US(Corporation)",Standard/Normal,52495,ROLLS-ROYC250-C30P(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050202106 / A10446,Assigned,2019-05-21,2018-11-09,2019-05-21,2022-05-31,FAA
N165SP,2000 BELL 407Rotorcraft(7 seats / 1 engine),"SAN JUAN AVIATION LLCWILMINGTON, DE, US",Standard/Normal,53458,ALLISON250-C47(Turbo-shaft)Horsepower:600,"Less than 12,500lbs",Not defined,050202737 / A105DF,Assigned,2020-06-01,2000-11-29,2020-06-01,2023-06-30,FAA
N171PD,2012 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"SUFFOLK COUNTY POLICE DEPTYAPHANK, NY, US(Government)",Standard/Transport,9580,TURBOMECAARRIEL1E2(Turbo-shaft)Horsepower:708,"Less than 12,500lbs",Not defined,050217055 / A11E2D,Assigned,2015-02-12,2014-12-18,2020-09-17,2024-02-29,FAA
N176AE,1979 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCOFALLON, MO, US(Corporation)",Standard/Normal,45224,ALLISON250-C28SER(Turbo-shaft)Horsepower:500,"Less than 12,500lbs",Not defined,050227574 / A12F7C,Unknown,2005-10-26,1997-10-08,2018-03-16,2021-07-31,FAA
N176AM,2007 SIKORSKY S-76CRotorcraft(14 seats / 2 engines),"SPECTRUM HEALTH HOSPITALSGRAND RAPIDS, MI, US(Corporation)",Experimental/Normal,760665,TURBOMECAARRIEL2S2(Turbo-shaft)Horsepower:817,"Less than 12,500lbs",Not defined,050227603 / A12F83,Assigned,2007-06-29,2008-03-26,2020-09-27,2023-12-31,FAA
N179SF,1996 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"N179SF LLCMESA, AZ, US",Standard/Normal,53196,ALLISON250-C47(Turbo-shaft)Horsepower:600,"Less than 12,500lbs",Not defined,050236062 / A13C32,Assigned,2019-02-11,2018-11-28,2019-03-22,2022-02-28,FAA
N17LA,1992 BELL 412Rotorcraft(15 seats / 2 engines),"COUNTY OF LOS ANGELES FIRE DEPARTMENTPACOIMA, CA, US(Government)",Standard/Transport,36044,P&WCANADAPT6T-3SERIES(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",Not defined,050213717 / A117CF,Assigned,1992-07-31,1992-03-11,2020-07-07,2023-11-30,FAA
N1807,2007 BELL 206-L4Rotorcraft(7 seats / 1 engine),"GM LEASING CO LLCBROUSSARD, LA, US",Standard/Normal,52361,ROLLS-ROYC250-C30P(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050241771 / A143F9,Assigned,2007-11-01,2007-09-27,2018-05-07,2021-10-31,FAA
N1821,2007 BELL 206-L4Rotorcraft(7 seats / 1 engine),"GM LEASING CO LLCBROUSSARD, LA, US",Standard/Normal,52366,ROLLS-ROYC250-C30P(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050245225 / A14A95,Assigned,2007-12-27,2007-10-17,2018-08-08,2022-01-31,FAA
N184AM,2010 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"TVPX AIRCRAFT SOLUTIONS INC TRUSTEENORTH SALT LAKE, UT, US(Corporation)",Standard/Normal,54044,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050247624 / A14F94,Assigned,2017-09-19,2011-09-23,2020-04-20,2023-09-30,FAA
N184WK,2008 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"MILWAUKEE REGIONAL MEDICAL CENTER INCWAUKESHA, WI, US(Corporation)",Standard/Transport,9171,TURBOMECAARRIEL1E2(Turbo-shaft)Horsepower:708,"Less than 12,500lbs",Not defined,050250606 / A15186,Assigned,2008-07-14,2008-05-09,2020-06-11,2023-10-31,FAA
N189AM,2010 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"FIFTH THIRD BANK NACINCINNATI, OH, US(Corporation)",Standard/Unknown,54047,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050261047 / A16227,Assigned,2020-05-15,2010-12-15,2020-05-15,2023-05-31,FAA
N18LA,1992 BELL 412Rotorcraft(15 seats / 2 engines),"COUNTY OF LOS ANGELES FIRE DEPARTMENTPACOIMA, CA, US(Government)",Standard/Transport,36043,P&WCANADAPT6T-3SERIES(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",Not defined,050237516 / A13F4E,Assigned,1992-08-10,1992-02-25,2020-11-13,2024-02-29,FAA
N190LA, SIKORSKY S-70ARotorcraft(39 seats / 2 engines),"COUNTY OF LOS ANGELES FIRE DEPARTMENTPACOIMA, CA, US(Government)",Unknown/Unknown,702479,(Turbo-shaft),"Over 20,000lbs",Not defined,050264446 / A16926,Assigned,2001-11-20,,2020-06-02,2021-10-31,FAA
N191LL,2009 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"INDIANA UNIVERSITY HEALTH INCINDIANAPOLIS, IN, US(Corporation)",Standard/Transport,9319,TURBOMECAARRIEL1E2(Turbo-shaft)Horsepower:708,"Less than 12,500lbs",Not defined,050266347 / A16CE7,Assigned,2010-01-11,2010-04-20,2019-04-30,2022-07-31,FAA
N192AE, BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Unknown/Unknown,45660,(Turbo-shaft),"Less than 12,500lbs",Not defined,050267636 / A16F9E,Unknown,2005-10-26,,2018-03-16,2021-07-31,FAA
N192LL,2009 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"INDIANA UNIVERSITY HEALTH INCINDIANAPOLIS, IN, US(Corporation)",Standard/Transport,9288,TURBOMECAARRIEL1E2(Turbo-shaft)Horsepower:708,"Less than 12,500lbs",Not defined,050270236 / A1709E,Assigned,2009-12-04,2010-03-24,2019-03-08,2022-06-30,FAA
N193AM,2010 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"BANK OF UTAH TRUSTEESALT LAKE CITY, UT, US(Corporation)",Standard/Normal,54004,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050271534 / A1735C,Assigned,2017-08-31,2012-02-24,2020-04-27,2023-08-31,FAA
N193LL,2010 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"INDIANA UNIVERSITY HEALTH INCINDIANAPOLIS, IN, US(Corporation)",Standard/Transport,9353,TURBOMECAARRIEL1E2(Turbo-shaft)Horsepower:708,"Less than 12,500lbs",Not defined,050272125 / A17455,Assigned,2010-05-10,2010-08-02,2020-02-11,2023-05-31,FAA
N194LL,2010 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"INDIANA UNIVERSITY HEALTH INCINDIANAPOLIS, IN, US(Corporation)",Standard/Transport,9357,TURBOMECAARRIEL1E2(Turbo-shaft)Horsepower:708,"Less than 12,500lbs",Not defined,050274014 / A1780C,Assigned,2010-05-25,2010-08-18,2020-02-28,2023-05-31,FAA
N195LL,2008 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"INDIANA UNIVERSITY HEALTH INCINDIANAPOLIS, IN, US(Corporation)",Standard/Normal,9226,TURBOMECAARRIEL1E2(Turbo-shaft)Horsepower:708,"Less than 12,500lbs",Not defined,050275703 / A17BC3,Assigned,2018-01-18,2012-10-17,2021-01-11,2024-01-31,FAA
N196LL,1989 MESSERSCHMITT-BOLKOW-BLOHM BK 117 B-2Rotorcraft(7 seats / 2 engines),"MERCY FLIGHT CENTRAL HOLDING LLCCANANDAIGUA, NY, US",Standard/Transport,7150,LYCOMINGLTS-101SER(Turbo-shaft)Horsepower:317,"Less than 12,500lbs",Not defined,050277572 / A17F7A,Assigned,2015-12-03,1993-12-27,2018-07-12,2021-12-31,FAA
N198LL,2001 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-1Rotorcraft(4 seats / 1 engine),"METRO AVIATION INCSHREVEPORT, LA, US(Corporation)",Standard/Transport,7537,TURBOMECAARRIEL1SER(Turbo-shaft)Horsepower:681,"Less than 12,500lbs",Not defined,050303350 / A186E8,Assigned,2011-08-05,2001-10-18,2020-03-10,2023-08-31,FAA
N199SM,1991 AEROSPATIALE AS 365 N2 DAUPHINRotorcraft(14 seats / 2 engines),"PARKVIEW HOSPITALFORT WAYNE, IN, US(Corporation)",Standard/Transport,6396,TURBOMECAARRIEL1SER(Turbo-shaft)Horsepower:681,"Less than 12,500lbs",Not defined,050305466 / A18B36,Assigned,2013-03-13,1991-12-23,2018-10-18,2022-03-31,FAA
N1NJ,2011 AGUSTA AEROSPACE CORP AW139Rotorcraft(17 seats / 2 engines),"STATE OF NEW JERSEYTRENTON, NJ, US(Government)",Experimental,41242,P&WCANADAPT6C-67C(Turbo-shaft)Horsepower:1679,"Over 20,000lbs",Not defined,050000467 / A00137,Assigned,2011-05-16,2011-04-12,2019-12-27,2023-05-31,FAA
N1SP,2013 BELL HELICOPTER TEXTRON CANADA 429Rotorcraft(9 seats / 2 engines),"STATE OF DELAWAREDOVER, DE, US(Government)",Standard/Normal,57184,P&WCANADAPW207D1/D2(Turbo-shaft)Horsepower:621,"Less than 12,500lbs",Not defined,050000640 / A001A0,Assigned,2014-11-03,2014-01-14,2020-09-11,2023-11-30,FAA
N200HN, EUROCOPTER DEUTSCHLAND GMBH EC135T2Rotorcraft(12 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Unknown/Unknown,0444,(Turbo-shaft),"12,500-19,999lbs",Not defined,050311277 / A192BF,Assigned,2013-03-18,,2018-10-19,2022-03-31,FAA
N200UP,1999 EUROCOPTER DEUTSCHLAND GMBH EC135T1Rotorcraft(12 seats / 2 engines),"KMV LEASING LLCSHREVEPORT, LA, US",Standard/Normal,0089,TURBOMECAARRIUS2B(Turbo-shaft)Horsepower:515,"12,500-19,999lbs",Not defined,050311723 / A193D3,Unknown,2018-08-25,2000-08-01,2018-08-25,2021-08-31,FAA
N202AE,2000 EUROCOPTER AS 350 B2Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,3343,TURBOMECAARRIEL1SER(Turbo-shaft)Horsepower:681,"Less than 12,500lbs",Not defined,050314566 / A19976,Assigned,2013-01-09,2000-12-29,2018-08-13,2022-01-31,FAA
N205BH, BELL EH-1HRotorcraft(6 seats / 1 engine),"USDA FOREST SERVICE FEPPCAMARILLO, CA, US(Government)",Unknown/Unknown,11373,(Turbo-shaft),"Less than 12,500lbs",Not defined,050322267 / A1A4B7,Assigned,1998-02-10,,2019-02-13,2022-07-31,FAA
N205CF,2009 AGUSTA AEROSPACE CORP AW119 MKIIRotorcraft(8 seats / 1 engine),"TRI-STATE CARE FLIGHT LLCGREENWOOD VILLAGE, CO, US",Experimental/Normal,14726,P&WCANADAPT6B-37A(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",Not defined,050322316 / A1A4CE,Assigned,2009-03-16,2009-02-17,2019-05-13,2022-10-31,FAA
N205KS, BELL UH-1HRotorcraft(15 seats / 1 engine),"USDA FOREST SERVICE FEPPSANTA BARBARA, CA, US(Government)",Unknown/Unknown,9526,(Turbo-shaft),"Less than 12,500lbs",Not defined,050322610 / A1A588,Assigned,1998-09-08,,2020-11-17,2024-04-30,FAA
N205SD, BELL HH-1HRotorcraft(15 seats / 1 engine),"VENTURA COUNTY SHERIFFS DEPARTMENTCAMARILLO, CA, US(Government)",Unknown/Unknown,70-2472,(Turbo-shaft),"Less than 12,500lbs",Not defined,050323052 / A1A62A,Assigned,1995-09-27,,2020-11-19,2024-04-30,FAA
N205VC,1969 BELL 205A-1Rotorcraft(15 seats / 1 engine),"VENTURA COUNTY SHERIFFS DEPARTMENTCAMARILLO, CA, US(Government)",Standard/Transport,30066,LYCOMINGT-53(Turbo-shaft)Horsepower:1150,"Less than 12,500lbs",103mph,050323164 / A1A674,Assigned,1998-12-15,2003-08-09,2018-08-17,2022-01-31,FAA
N209LF,2010 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,4960,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050332162 / A1B472,Assigned,2016-08-23,2014-12-12,2019-03-12,2022-08-31,FAA
N20SP,2000 BELL 430Rotorcraft(10 seats / 2 engines),"NEW YORK STATE POLICEALBANY, NY, US(Government)",Standard/Transport,49070,ALLISON250SERIES(Turbo-shaft)Horsepower:300,"Less than 12,500lbs",Not defined,050310510 / A19148,Assigned,2001-01-25,2000-09-30,2019-06-17,2022-07-31,FAA
N211FX,2010 BELL HELICOPTER TEXTRON CANADA 429Rotorcraft(9 seats / 2 engines),"COUNTY OF FAIRFAXFAIRFAX, VA, US(Government)",Standard/Normal,57004,P&WCANADAPW207D(Turbo-shaft)Horsepower:572,"Less than 12,500lbs",Not defined,050336714 / A1BDCC,Assigned,2011-04-21,2010-09-20,2019-11-25,2023-04-30,FAA
N212FX,2011 BELL 429Rotorcraft(9 seats / 2 engines),"COUNTY OF FAIRFAXFAIRFAX, VA, US(Government)",Standard/Normal,57055,P&WCANADAPW207D(Turbo-shaft)Horsepower:572,"Less than 12,500lbs",Not defined,050340603 / A1C183,Assigned,2011-11-28,2011-10-28,2020-07-09,2023-11-30,FAA
N212VC,1975 BELL 212Rotorcraft(15 seats / 2 engines),"VENTURA COUNTY SHERIFFS DEPARTMENTCAMARILLO, CA, US(Government)",Standard/Transport,30693,P&WCANADAPT6T-3SERIES(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",103mph,050341316 / A1C2CE,Assigned,2001-04-26,2003-08-10,2019-08-11,2023-01-31,FAA
N214AM,2014 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,54485,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050344152 / A1C86A,Assigned,2014-07-22,2014-03-13,2020-02-14,2023-07-31,FAA
N218AM,2014 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,54565,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050353506 / A1D746,Assigned,2015-05-19,2015-01-09,2021-01-11,2024-05-31,FAA
N219MG,1998 BELL 412EPRotorcraft(15 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Transport,36218,P&WCANADAPT6T-3SERIES(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",Not defined,050356013 / A1DC0B,Assigned,2013-08-22,1999-02-19,2019-03-12,2022-08-31,FAA
N224AM,2011 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"FIFTH THIRD BANK NACINCINNATI, OH, US(Corporation)",Standard/Normal,54070,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050367751 / A1EFE9,Assigned,2020-05-15,2011-06-06,2020-05-15,2023-05-31,FAA
N225AE, BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Unknown/Unknown,45577,(Turbo-shaft),"Less than 12,500lbs",Not defined,050371631 / A1F399,Unknown,2005-10-26,,2018-03-16,2021-07-31,FAA
N226SA,2007 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"BENNETT AVIATION LLCELMHURST, IL, US",Standard/Normal,0559,P&WCANADAPW206B(Turbo-shaft)Horsepower:431,"Less than 12,500lbs",Not defined,050374334 / A1F8DC,Assigned,2017-11-27,2007-05-25,2020-06-23,2023-11-30,FAA
N229AE, BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45256,(Turbo-shaft),"Less than 12,500lbs",Not defined,050401165 / A20275,Assigned,2006-01-04,1979-11-29,2018-11-26,2022-04-30,FAA
N229AM,2011 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"KEYBANK NASUPERIOR, CO, US(Corporation)",Standard/Normal,54071,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050401174 / A2027C,Assigned,2017-07-26,2011-07-11,2020-07-13,2023-07-31,FAA
N22PP,1998 BELL 412EPRotorcraft(15 seats / 2 engines),"DEPARTMENT OF INTERIORBOISE, ID, US(Government)",Standard/Transport,36219,P&WPT6T-3D(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",Not defined,050357773 / A1DFFB,Assigned,1999-05-21,1998-12-23,2020-01-13,2023-05-31,FAA
N230AE,1990 BELL 206L-3Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,51331,ALLISON250-C30SER(Turbo-shaft)Horsepower:650,"12,500-19,999lbs",Not defined,050404205 / A20885,Assigned,2005-10-26,1990-02-05,2018-04-13,2021-09-30,FAA
N230AM,2007 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,0540,P&WCANADAPW206B(Turbo-shaft)Horsepower:431,"Less than 12,500lbs",Not defined,050404214 / A2088C,Assigned,2017-10-04,2007-08-15,2020-05-12,2023-10-31,FAA
N233AE,1991 BELL 206L-3Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,51453,ALLISON250-C30SER(Turbo-shaft)Horsepower:650,"12,500-19,999lbs",Not defined,050411652 / A213AA,Assigned,2005-12-05,1991-04-29,2018-11-26,2022-03-31,FAA
N235AM, EUROCOPTER DEUTSCHLAND GMBH EC135P1Rotorcraft(7 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,0140,(Turbo-shaft),"Less than 12,500lbs",Not defined,050415437 / A21B1F,Assigned,2015-03-24,2001-08-12,2020-10-16,2024-03-31,FAA
N235LL,2008 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"MERCY HOSPITAL SPRINGFIELDSPRINGFIELD, MO, US(Corporation)",Standard/Normal,0662,P&WCANADAPW206B2(Turbo-shaft)Horsepower:447,"Less than 12,500lbs",Not defined,050416030 / A21C18,Assigned,2012-10-23,2008-07-20,2018-07-12,2021-10-31,FAA
N235UW,2007 EUROCOPTER DEUTSCHLAND GMBH EC 135 T2+Rotorcraft(12 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,0548,TURBOMECAARRIUS2B2(Turbo-shaft)Horsepower:642,"12,500-19,999lbs",Not defined,050416352 / A21CEA,Assigned,2012-09-10,2007-04-23,2018-01-03,2018-09-30,FAA
N238AM,2000 AGUSTA SPA A109ERotorcraft(8 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,11084,P&WCANADAPW206C(Turbo-shaft)Horsepower:561,"Less than 12,500lbs",Not defined,050423104 / A22644,Assigned,2015-01-08,2015-07-31,2020-08-24,2024-01-31,FAA
N239AE,1980 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45367,ROLLS-ROYC250-C30P(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050424764 / A229F4,Assigned,2006-04-20,2007-06-29,2019-08-14,2023-01-31,FAA
N240SF,2010 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"CBI EQUIPMENT FINANCE INCSAINT LOUIS, MO, US(Corporation)",Standard/Transport,9403,TURBOMECAARRIEL1E2(Turbo-shaft)Horsepower:708,"Less than 12,500lbs",Not defined,050430625 / A23195,Assigned,2011-11-15,2012-04-27,2020-08-26,2023-11-30,FAA
N241AM,2007 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Experimental/Normal,0573,P&WCANADAPW206B2(Turbo-shaft)Horsepower:447,"Less than 12,500lbs",Not defined,050431702 / A233C2,Assigned,2015-10-28,2007-12-14,2018-05-15,2021-10-31,FAA
N241MT,2011 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"MED-TRANS CORPDENTON, TX, US(Corporation)",Standard/Normal,54056,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050432333 / A234DB,Assigned,2020-08-05,2011-03-01,2020-08-05,2023-08-31,FAA
N245AM,2011 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,7154,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050441236 / A2429E,Assigned,2016-10-05,2011-05-20,2019-05-15,2022-10-31,FAA
N246AM,2015 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,54593,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050443125 / A24655,Assigned,2015-09-23,2015-04-10,2018-01-03,2018-09-30,FAA
N248AE,1985 BELL 206L-3Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,51129,ALLISON250-C30SER(Turbo-shaft)Horsepower:650,"12,500-19,999lbs",Not defined,050446674 / A24DBC,Assigned,2006-03-03,1985-11-26,2019-08-13,2022-12-31,FAA
N24AE,1981 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45646,ALLISON250SER250HP(Turbo-shaft)Horsepower:250,"Less than 12,500lbs",Not defined,050426653 / A22DAB,Assigned,2005-10-26,1981-07-02,2018-04-13,2021-09-30,FAA
N250KF,1989 MESSERSCHMITT-BOLKOW-BLOHM BK 117 B-2Rotorcraft(7 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Transport,7211,HONEYWELLLTS101-750B-1(Turbo-shaft)Horsepower:550,"Less than 12,500lbs",Not defined,050454145 / A25865,Assigned,2014-03-11,2012-01-26,2019-10-10,2023-03-31,FAA
N250MT,2007 TUMBIOLO MICHAEL J SEAREYFixed wing single engine(2 seats / 1 engine),"PHLOYDS PHLYING CIRCUS LLCCOLLIERVILLE, TN, US",Experimental,1DK045,ROTAX912ULSSERIES(4Cycle)Horsepower:100,"Less than 12,500lbs",Not defined,050454243 / A258A3,Assigned,2020-05-15,2007-11-28,2020-05-15,2023-05-31,FAA
N251HC,2010 AGUSTA SPA AW109SPRotorcraft(8 seats / 2 engines),"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",Standard/Normal,22221,P&WCANADAPW207C(Turbo-shaft)Horsepower:572,"Less than 12,500lbs",Not defined,050455747 / A25BE7,Assigned,2011-06-24,2010-11-16,2020-01-16,2023-06-30,FAA
N252SA,2008 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"BENNETT AVIATION LLCELMHURST, IL, US",Standard/Normal,0707,P&WCANADAPW206B2(Turbo-shaft)Horsepower:447,"Less than 12,500lbs",Not defined,050460175 / A2607D,Assigned,2009-08-10,2008-09-05,2021-01-14,2024-06-30,FAA
N253AM,2008 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"BANK OF UTAH TRUSTEESALT LAKE CITY, UT, US(Corporation)",Standard/Normal,0663,P&WCANADAPW206B2(Turbo-shaft)Horsepower:447,"Less than 12,500lbs",Not defined,050461257 / A262AF,Assigned,2017-09-25,2008-05-19,2020-07-07,2023-09-30,FAA
N253LF,2011 AMERICAN EUROCOPTER CORP AS350B3Rotorcraft(7 seats / 1 engine),"BANK OF UTAH TRUSTEESALT LAKE CITY, UT, US(Corporation)",Standard/Normal,7158,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"Less than 12,500lbs",Not defined,050461643 / A263A3,Assigned,2014-06-23,2012-02-24,2020-02-13,2023-06-30,FAA
N253SA,2010 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"BENNETT AVIATION LLCELMHURST, IL, US",Standard/Normal,0890,P&WCANADAPW206B2(Turbo-shaft)Horsepower:447,"Less than 12,500lbs",Not defined,050462064 / A26434,Assigned,2010-12-10,2010-11-02,2019-07-19,2022-12-31,FAA
N255LF,2011 AMERICAN EUROCOPTER CORP AS350B3Rotorcraft(7 seats / 1 engine),"TVPX AIRCRAFT SOLUTIONS INC TRUSTEENORTH SALT LAKE, UT, US(Corporation)",Standard/Normal,7140,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"Less than 12,500lbs",Not defined,050465421 / A26B11,Assigned,2017-09-18,2015-01-26,2020-04-20,2023-09-30,FAA
N257AM,2011 AMERICAN EUROCOPTER CORP AS350B3Rotorcraft(7 seats / 1 engine),"BANK OF UTAH TRUSTEESALT LAKE CITY, UT, US(Corporation)",Standard/Normal,7203,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"Less than 12,500lbs",Not defined,050470613 / A2718B,Assigned,2017-08-09,2011-07-11,2020-07-22,2023-08-31,FAA
N257BC,2012 EUROCOPTER DEUTSCHLAND GMBH EC 135 T2+Rotorcraft(12 seats / 2 engines),"BROWARD COUNTY SHERIFFS OFFICEFORT LAUDERDALE, FL, US(Government)",Standard/Normal,1043,TURBOMECAARRIUS2B2(Turbo-shaft)Horsepower:642,"12,500-19,999lbs",Not defined,050470633 / A2719B,Assigned,2012-09-10,2012-07-20,2018-04-17,2021-09-30,FAA
N259AM,2011 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,7050,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050474371 / A278F9,Assigned,2016-06-15,2011-01-16,2019-01-11,2022-06-30,FAA
